2018-12-14 07:46:47.693580 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:48.696844 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:50.203055 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:46:51.207082 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:52.211209 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:53.217877 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:54.226390 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:55.225744 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:56.233072 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:46:57.231623 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:58.750114 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:46:59.754129 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:00.748765 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:01.762623 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:02.766007 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:03.758306 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:04.762406 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:47:06.268611 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:47:07.272749 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:08.277182 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:47:09.280838 HST-1000 | $RXPNS,B,0,G,8875*70
